"CountryName","Indicator","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Albania","Adult literacy rate, population 15+ years, female (%)",96.06762,96.06762,94.68181,96.06762,96.06762,95.69148,96.13607,96.06762,96.06762,96.06762,96.06762,96.06762,97.76112
"Albania","Adult literacy rate, population 15+ years, male (%)",98.0451475,98.0451475,97.3062,98.0451475,98.0451475,98.00816,98.35261,98.0451475,98.0451475,98.0451475,98.0451475,98.0451475,98.51362
"Albania","Adult literacy rate, population 15+ years, adjusted gender parity index (GPIA)",0.9798025,0.9798025,0.97303,0.9798025,0.9798025,0.97636,0.97746,0.9798025,0.9798025,0.9798025,0.9798025,0.9798025,0.99236
"Albania","Youth literacy rate, population 15-24 years, female (%)",99.1569375,99.1569375,99.12132,99.1569375,99.1569375,98.85624,99.02019,99.1569375,99.1569375,99.1569375,99.1569375,99.1569375,99.63
"Albania","Youth literacy rate, population 15-24 years, male (%)",98.923615,98.923615,98.53712,98.923615,98.923615,98.73136,99.37598,98.923615,98.923615,98.923615,98.923615,98.923615,99.05
"Albania","Youth literacy rate, population 15-24 years, adjusted gender parity index (GPIA)",1.0023475,1.0023475,1.00589,1.0023475,1.0023475,1.00126,0.99642,1.0023475,1.0023475,1.0023475,1.0023475,1.0023475,1.00582
"Albania","Gross enrolment ratio, primary, female (%)",98.30409,96.73367,95.80653,92.96703,93.80494,95.78378,98.40964,101.15748,106.12752,107.29018,107.53385,108.87005,109.11123
"Albania","Gross enrolment ratio, primary, gender parity index (GPI)",1.00844,1.00776,1.00249,0.99718,1.00642,1.01557,1.01601,1.02221,1.03682,1.0313,1.03555,1.03224,1.03765
"Albania","Gross enrolment ratio, primary, male (%)",97.48182,95.98913,95.56895,93.22988,93.20702,94.31533,96.85884,98.95978,102.35866,104.03387,103.84185,105.46986,105.15258
"Albania","Gross enrolment ratio, secondary, female (%)",78.145,81.87089,84.0772,87.10308,88.35548,89.39914,91.11264,94.19866,94.78689,95.12266,94.23857,94.7129,95.70465
