Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Albania,ALB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,98.25227,..,..,..,..,..,..,94.68181,..,..,95.69148,96.13607,..,..,..,..,..,97.76112,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,99.18761,..,..,..,..,..,..,97.3062,..,..,98.00816,98.35261,..,..,..,..,..,98.51362,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.GPIA,..,0.99057,..,..,..,..,..,..,0.97303,..,..,0.97636,0.97746,..,..,..,..,..,0.99236,..,..
Albania,ALB,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,..,99.49808,..,..,..,..,..,..,99.12132,..,..,98.85624,99.02019,..,..,..,..,..,99.63,..,..
Albania,ALB,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,..,99.36846,..,..,..,..,..,..,98.53712,..,..,98.73136,99.37598,..,..,..,..,..,99.05,..,..
Albania,ALB,"Youth literacy rate, population 15-24 years, adjusted gender parity index (GPIA)",UIS.LR.AG15T24.GPIA,..,1.0013,..,..,..,..,..,..,1.00589,..,..,1.00126,0.99642,..,..,..,..,..,1.00582,..,..
Albania,ALB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,104.04386,103.78212,101.11178,100.49498,98.86424,100.95622,98.30409,96.73367,95.80653,92.96703,93.80494,95.78378,98.40964,101.15748,106.12752,107.29018,107.53385,108.87005,109.11123,106.44361,..
Albania,ALB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99717,1.01539,0.99434,1.00944,1.0135,1.00536,1.00844,1.00776,1.00249,0.99718,1.00642,1.01557,1.01601,1.02221,1.03682,1.0313,1.03555,1.03224,1.03765,1.02963,..
Albania,ALB,"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,104.33872,102.20929,101.68775,99.55539,97.54762,100.41829,97.48182,95.98913,95.56895,93.22988,93.20702,94.31533,96.85884,98.95978,102.35866,104.03387,103.84185,105.46986,105.15258,103.38077,..
Albania,ALB,"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,69.84893,71.55499,..,..,73.40501,76.50584,78.145,81.87089,84.0772,87.10308,88.35548,89.39914,91.11264,94.19866,94.78689,95.12266,94.23857,94.7129,95.70465,95.65993,..
Albania,ALB,"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.96644,0.97363,..,..,0.96412,0.96543,0.97463,0.99227,0.9989,1.03197,1.00547,0.99156,0.97586,0.95973,0.94445,0.95622,0.97086,0.98903,1.00539,1.01136,..
Albania,ALB,"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,72.27474,73.493,..,..,76.13671,79.24535,80.17894,82.50895,84.16939,84.40454,87.87483,90.16002,93.36662,98.15081,100.36199,99.47831,97.06753,95.76336,95.19122,94.58517,..
Albania,ALB,"Gross enrolment ratio for tertiary education, female (%)",SE.TER.ENRR.FE,18.26957,19.04766,19.78476,20.32879,24.1045,27.35053,30.42745,35.46488,36.48628,38.66989,51.57109,58.23014,69.71962,76.31651,78.31959,73.53012,70.07677,69.81036,67.57861,73.34053,..
Albania,ALB,"Gross enrolment ratio for tertiary education, male (%)",SE.TER.ENRR.MA,12.70327,12.60296,12.6839,12.82352,15.48229,18.841,22.70437,25.86625,27.78814,28.35564,38.04778,42.33717,49.90621,54.22968,54.55885,51.56088,47.56265,45.73384,43.04797,46.94404,..
Albania,ALB,"Gross enrolment ratio for tertiary education, adjusted gender parity index (GPIA)",UIS.GER.5T8.GPIA,1.30468,1.33835,1.35891,1.36919,1.3577,1.31113,1.25382,1.27065,1.23839,1.26673,1.26223,1.27293,1.28419,1.28941,1.30338,1.29878,1.32128,1.34488,1.36299,1.35992,..
Albania,ALB,"Youth illiterate population, 15-24 years, female (number)",UIS.LP.AG15T24.F,..,1359,..,..,..,..,..,..,2373,..,..,2913,2474,..,..,..,..,..,814,..,..
Albania,ALB,"Youth illiterate population, 15-24 years, male (number)",UIS.LP.AG15T24.M,..,1656,..,..,..,..,..,..,4146,..,..,3593,1755,..,..,..,..,..,2263,..,..
Albania,ALB,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,8974,..,..,..,..,..,..,30488,..,..,22830,19064,..,..,..,..,..,17818,..,..
Albania,ALB,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,19165,..,..,..,..,..,..,61308,..,..,49703,44688,..,..,..,..,..,26296,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,60.07508,..,..,..,63.91879,..,67.54875,..,..,..,..,..,..,..,..,..,75.32297,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,79.18669,..,..,..,81.28404,..,82.61584,..,..,..,..,..,..,..,..,..,87.42296,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.GPIA,..,..,0.75865,..,..,..,0.78636,..,0.81762,..,..,..,..,..,..,..,..,..,0.86159,..,..
Algeria,DZA,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,..,..,86.13399,..,..,..,89.13824,..,91.73993,..,..,..,..,..,..,..,..,..,97.25216,..,..
Algeria,DZA,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,..,..,94.05754,..,..,..,94.38148,..,95.74706,..,..,..,..,..,..,..,..,..,97.59406,..,..
Algeria,DZA,"Youth literacy rate, population 15-24 years, adjusted gender parity index (GPIA)",UIS.LR.AG15T24.GPIA,..,..,0.91576,..,..,..,0.94445,..,0.95815,..,..,..,..,..,..,..,..,..,0.9965,..,..
Algeria,DZA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,100.49943,99.5018,100.93995,101.64258,102.69638,103.3146,103.94681,105.71126,105.58136,108.56269,111.54048,112.78835,114.63906,116.31155,115.46546,112.99054,110.83654,108.89749,107.30229,104.85988,..
